,steps,loss_policy,loss_value
0,0.25,7.184820175170898,155.0689697265625
16,3.371426849526602,7.410939693450928,201.12449645996094
32,6.467169975127783,7.42483377456665,194.1614990234375
48,9.623404741488162,8.083939552307129,232.13922119140625
64,12.749499259915668,8.926877975463867,298.08599853515625
80,14.53969736930111,8.91667652130127,302.1984558105469
96,16.840579543690392,9.11822509765625,315.8024597167969
112,19.829608539342107,9.50925064086914,336.1880798339844
128,22.614956180308774,10.027454376220703,378.949951171875
144,25.564055792965608,10.575260162353516,423.3476867675781
160,28.748941547670277,11.28270435333252,488.0527648925781
176,33.35312431523369,12.441450119018555,614.6091918945312
192,37.33334161801512,13.153328895568848,683.1776733398438
208,39.18412263993889,13.225614547729492,684.8392333984375
224,41.67067453821488,13.57813835144043,722.6923828125
240,44.781568142279006,14.02726936340332,768.3681640625
256,50.27935176521061,14.967802047729492,885.4398803710938
272,55.810210682030835,15.947996139526367,1023.1921997070312
288,64.43375741992678,17.39186668395996,1224.4918212890625
304,71.81386574698391,18.291240692138672,1333.2088623046875
320,75.93791185108802,18.870052337646484,1410.7667236328125
336,81.96340558766701,19.542978286743164,1489.97216796875
352,89.02970595580149,20.348812103271484,1607.6253662109375
368,91.95194908784131,20.731508255004883,1659.192626953125
384,103.81493052124097,21.944875717163086,1857.2506103515625
400,112.1634813593767,22.734960556030273,1978.4710693359375
416,115.32268608399593,23.094463348388672,2031.387451171875
432,116.43120069685438,23.32042694091797,2061.3994140625
448,124.41808035156087,23.982723236083984,2167.683837890625
464,127.7224782934768,24.35723876953125,2224.488037109375
480,132.69565266462317,24.882442474365234,2316.169921875
496,136.11137383192172,25.179468154907227,2360.412109375
512,138.71235975375674,25.47035026550293,2407.86181640625
528,140.65229445934503,25.707765579223633,2445.081298828125
544,147.04676737878813,26.14177703857422,2523.976318359375
560,146.20159638377473,26.250743865966797,2538.935546875
576,146.49596466274713,26.365129470825195,2554.58203125
592,149.4583527612283,26.627031326293945,2599.56787109375
608,153.83365068616177,26.954626083374023,2654.449951171875
624,151.41295879769464,27.10965347290039,2680.72021484375
640,156.5495322800182,27.42665672302246,2737.679443359375
656,163.58102993864517,27.80521583557129,2807.32470703125
672,168.9879232764935,28.130094528198242,2867.09912109375
688,166.5934170546516,28.217304229736328,2878.0146484375
704,162.0735109812717,28.241878509521484,2879.686767578125
720,170.21767410600654,28.570222854614258,2937.857666015625
736,170.50735503587075,28.702016830444336,2961.327880859375
752,175.57607714870963,28.94701385498047,3004.6953125
768,177.95906552933133,29.14591407775879,3041.798583984375
784,178.30791674880328,29.282289505004883,3065.31884765625
800,182.96733031556255,29.480222702026367,3101.46630859375
816,181.8037239588422,29.594383239746094,3121.16064453125
832,180.53934909160392,29.675657272338867,3134.23095703125
848,180.2862895429742,29.784975051879883,3155.136962890625
864,181.9939648055777,29.888011932373047,3173.26025390625
880,185.24283425002662,30.03301429748535,3200.040771484375
896,190.97901317513703,30.240814208984375,3240.90234375
912,196.27311816521006,30.444297790527344,3279.69970703125
928,197.44214785314017,30.563156127929688,3301.11962890625
